Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name,Calibration File,
Unknown,6__Sel_delta1_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A6,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,7__Sel_delta2_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A7,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,8__Sel_delta3_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A8,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,9__Sel_delta4_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A9,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,10__Sel_delta5_ex,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B1,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH50,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,11__Sel_WT1_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B2,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,12__Sel_WT2_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B3,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,13__Sel_WT3_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,14__Sel_WT4_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B5,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,15__Sel_WT5_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B6,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,16__Sel_delta1_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B7,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,17__Sel_delta2_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B8,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,18__Sel_delta3_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B9,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,19__Sel_delta4_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C1,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,20__Sel_delta5_stat,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C2,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,QC_4,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,R:A1,2.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH20_extraction10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C3,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH50_dissolve10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C4,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Medium_Blank10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C5,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,1__Sel_WT1_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A1,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,2__Sel_WT2_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A2,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,3__Sel_WT3_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A3,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,4__Sel_WT4_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A4,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,5__Sel_WT5_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A5,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,6__Sel_delta1_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A6,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,7__Sel_delta2_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A7,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,8__Sel_delta3_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A8,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,9__Sel_delta4_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:A9,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,10__Sel_delta5_ex10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B1,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Blank_MeOH5010,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C4,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,11__Sel_WT1_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B2,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,12__Sel_WT2_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B3,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,13__Sel_WT3_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B4,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,14__Sel_WT4_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B5,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,15__Sel_WT5_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B6,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,16__Sel_delta1_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B7,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,17__Sel_delta2_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B8,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,18__Sel_delta3_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:B9,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,19__Sel_delta4_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C1,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,20__Sel_delta5_stat10,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,B:C2,10.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1,,R:A1,2.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_wash_storage_99_valve6-1,,B:C4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,Wash2,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_wash_storage_99_valve6-1,,B:C4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
Unknown,,1,D:\Data\Nike\20230710_V28_9_untargetedSel,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_wash_storage_99_valve6-1,,B:C4,5.000,,0.000,0.000,0.000,1.000,,,,,,,,,
